"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1423812_s_at",-10.4102852153181,11.3156793947012,-16.6296813028599,2.13313485111281e-14,6.33063902195389e-13,20.6310901544288
"1450721_at",-10.8887466008368,11.1424566246916,-16.623769433397,2.14950449676735e-14,6.33752600321405e-13,20.6255952469731
"1419573_a_at",-11.5649046590617,10.099185331535,-16.6050757670402,2.20213101234615e-14,6.45052791993082e-13,20.6082018418867
"1423058_at",-11.0158514999329,10.2982119161557,-16.5838896485753,2.26339703338345e-14,6.58721549522112e-13,20.5884558760614
"1435697_a_at",-11.0871493770818,11.5199423451044,-16.562752051608,2.32629053423177e-14,6.6860722476926e-13,20.5687196181387
"1417141_at",-12.1806801577005,11.1840866927902,-16.5625143382785,2.32700807556581e-14,6.6860722476926e-13,20.5684974622639
"1447903_x_at",-10.5752607575248,9.88008675755444,-16.4961550977201,2.53659612203528e-14,7.21146864052896e-13,20.506304994615
"1422123_s_at",-11.6859600806141,10.8888138525325,-16.4945691296155,2.54183886908469e-14,7.21146864052896e-13,20.504814305431
"1434814_x_at",-11.1509048000026,10.6925948724525,-16.4591274507036,2.66198468327157e-14,7.50513306639878e-13,20.4714492115518
"1416203_at",-11.731224273511,11.1754725839727,-16.4441886463711,2.71438137046672e-14,7.60532569079217e-13,20.4573554687386
"1420788_at",-10.0742843718744,7.39599517100944,-16.4093977596466,2.84060600142291e-14,7.87521881714077e-13,20.4244629596216
"1451862_a_at",-10.1987027840608,7.68255870370872,-16.4080482702684,2.84562329238294e-14,7.87521881714077e-13,20.4231851380977
"1455719_at",-9.74757847227061,10.1005352017268,-16.4018535224117,2.86877333851319e-14,7.89087593294694e-13,20.4173174891104
"1428804_at",-9.99168115366399,9.58716329782834,-16.3869920426878,2.92511309046974e-14,7.91630357301092e-13,20.4032280833286
"1419872_at",-12.2297884124623,10.5696322736539,-16.3862007472781,2.92814494675649e-14,7.91630357301092e-13,20.4024773956846
"1416699_at",-11.2388937224373,10.4877336351767,-16.3855438416813,2.93066436863849e-14,7.91630357301092e-13,20.4018541627169
